built_age,current_energy_efficiency,environment_impact_current,energy_consumption_current,co2_emissions_current,lighting_cost_current,heating_cost_current,hot_water_cost_current
Post-30s,74.0,70.0,201.0,3.0,60.0,409.0,94.0
Pre-30s,47.0,44.0,436.0,5.0,72.0,708.0,225.0
Pre-30s,51.0,45.0,305.0,6.9,106.0,1335.0,107.0
Post-30s,70.0,68.0,239.0,2.7,56.0,456.0,100.0
Pre-30s,51.0,47.0,351.0,4.6,41.0,789.0,141.0
Post-30s,65.0,63.0,300.0,2.9,73.0,544.0,89.0
Pre-30s,43.0,39.0,392.0,6.5,72.0,1077.0,194.0
Pre-30s,48.0,41.0,435.0,6.3,109.0,1175.0,109.0
Pre-30s,57.0,52.0,286.0,4.6,47.0,810.0,87.0
Post-30s,52.0,54.0,285.0,6.3,103.0,1447.0,126.0
Pre-30s,42.0,36.0,550.0,5.8,66.0,1084.0,112.0
Pre-30s,65.0,65.0,240.0,2.7,68.0,451.0,84.0
Pre-30s,43.0,37.0,482.0,6.4,80.0,964.0,132.0
Pre-30s,61.0,54.0,323.0,4.3,57.0,676.0,105.0
Pre-30s,49.0,41.0,386.0,8.9,125.0,1692.0,115.0
Pre-30s,64.0,63.0,256.0,2.9,52.0,541.0,78.0
Pre-30s,53.0,45.0,235.0,9.8,165.0,1979.0,227.0
Post-30s,65.0,67.0,232.0,2.5,45.0,510.0,81.0
Pre-30s,73.0,72.0,215.0,2.4,54.0,414.0,80.0
Pre-30s,44.0,36.0,448.0,8.8,107.0,1467.0,114.0
Pre-30s,19.0,31.0,650.0,6.9,70.0,1486.0,504.0
Post-30s,64.0,62.0,249.0,3.2,65.0,615.0,92.0
Pre-30s,71.0,66.0,195.0,5.7,93.0,1009.0,163.0
Post-30s,66.0,59.0,231.0,5.0,123.0,821.0,100.0
Post-30s,58.0,54.0,267.0,4.8,82.0,744.0,249.0
Post-30s,70.0,67.0,248.0,4.0,92.0,622.0,177.0
Post-30s,65.0,60.0,273.0,3.9,92.0,661.0,159.0
Post-30s,66.0,63.0,261.0,3.7,102.0,661.0,110.0
Pre-30s,55.0,51.0,261.0,6.2,70.0,1244.0,117.0
Post-30s,71.0,69.0,231.0,3.6,79.0,579.0,122.0
Post-30s,64.0,62.0,228.0,3.7,58.0,655.0,84.0
Pre-30s,37.0,28.0,319.0,17.0,169.0,3349.0,235.0
Pre-30s,55.0,45.0,331.0,8.7,93.0,1493.0,128.0
Pre-30s,62.0,61.0,318.0,2.9,55.0,484.0,82.0
Post-30s,62.0,61.0,239.0,3.6,48.0,694.0,120.0
Post-30s,47.0,46.0,333.0,5.7,84.0,1047.0,108.0
Pre-30s,11.0,34.0,489.0,9.7,121.0,2249.0,100.0
Pre-30s,50.0,46.0,331.0,5.4,92.0,1017.0,97.0
Post-30s,71.0,71.0,177.0,2.6,63.0,442.0,83.0
Post-30s,69.0,68.0,270.0,2.9,63.0,493.0,89.0
Pre-30s,39.0,33.0,581.0,9.2,79.0,1755.0,109.0
Pre-30s,55.0,49.0,277.0,6.3,70.0,1185.0,116.0
Pre-30s,53.0,43.0,336.0,12.0,98.0,2219.0,114.0
Post-30s,57.0,50.0,365.0,6.9,103.0,1287.0,120.0
Pre-30s,52.0,48.0,339.0,4.5,88.0,845.0,119.0
Post-30s,21.0,24.0,772.0,8.3,102.0,1380.0,594.0
Pre-30s,56.0,47.0,334.0,7.3,107.0,1336.0,119.0
Post-30s,57.0,48.0,320.0,7.8,86.0,1375.0,203.0
Post-30s,63.0,61.0,259.0,4.0,83.0,626.0,165.0
Pre-30s,28.0,30.0,517.0,10.0,106.0,1257.0,392.0
Post-30s,73.0,73.0,172.0,3.1,107.0,481.0,111.0
Post-30s,70.0,70.0,183.0,2.7,64.0,471.0,91.0
Pre-30s,64.0,49.0,195.0,6.9,100.0,1448.0,212.0
Pre-30s,39.0,36.0,502.0,5.8,45.0,1153.0,133.0
Pre-30s,57.0,49.0,384.0,6.3,65.0,1203.0,110.0
Pre-30s,41.0,38.0,474.0,6.8,54.0,1424.0,109.0
Post-30s,68.0,64.0,271.0,3.0,60.0,434.0,116.0
Pre-30s,52.0,51.0,369.0,4.4,61.0,737.0,103.0
Post-30s,70.0,70.0,181.0,2.8,56.0,513.0,101.0
Post-30s,64.0,61.0,233.0,3.6,77.0,580.0,104.0
Post-30s,69.0,68.0,243.0,2.7,61.0,456.0,96.0
Post-30s,60.0,54.0,347.0,4.6,69.0,804.0,97.0
Pre-30s,14.0,29.0,586.0,7.4,105.0,2321.0,90.0
Pre-30s,63.0,55.0,303.0,6.9,84.0,1264.0,110.0
Pre-30s,66.0,62.0,279.0,3.3,67.0,620.0,99.0
Pre-30s,64.0,65.0,235.0,2.8,71.0,496.0,82.0
Post-30s,82.0,76.0,168.0,3.4,66.0,890.0,100.0
Pre-30s,43.0,36.0,318.0,17.0,98.0,3010.0,212.0
Pre-30s,47.0,38.0,462.0,11.0,145.0,2086.0,113.0
Post-30s,69.0,64.0,232.0,4.2,94.0,774.0,114.0
Pre-30s,45.0,42.0,404.0,9.0,93.0,1753.0,115.0
Pre-30s,57.0,49.0,361.0,5.2,53.0,986.0,105.0
Post-30s,74.0,74.0,156.0,2.4,70.0,456.0,100.0
Pre-30s,56.0,51.0,289.0,5.0,73.0,944.0,95.0
Post-30s,49.0,41.0,471.0,6.2,49.0,1175.0,124.0
Pre-30s,15.0,11.0,1024.0,12.0,63.0,1270.0,294.0
Pre-30s,13.0,25.0,797.0,9.4,78.0,2558.0,89.0
Pre-30s,46.0,44.0,333.0,6.5,55.0,1233.0,90.0
Post-30s,66.0,61.0,302.0,3.1,54.0,382.0,199.0
Post-30s,33.0,50.0,452.0,3.7,48.0,761.0,68.0
Pre-30s,66.0,65.0,279.0,3.7,95.0,730.0,86.0
Post-30s,64.0,62.0,239.0,3.3,57.0,547.0,167.0
Pre-30s,58.0,52.0,258.0,4.7,58.0,840.0,97.0
Post-30s,68.0,65.0,230.0,3.1,63.0,554.0,83.0
Post-30s,45.0,43.0,364.0,5.9,93.0,790.0,342.0
Pre-30s,57.0,50.0,367.0,4.8,69.0,900.0,103.0
Post-30s,75.0,75.0,217.0,1.7,47.0,296.0,74.0
Post-30s,61.0,57.0,331.0,3.7,74.0,701.0,86.0
Post-30s,60.0,59.0,333.0,3.4,56.0,578.0,94.0
Pre-30s,64.0,60.0,284.0,3.9,86.0,695.0,104.0
Post-30s,51.0,47.0,316.0,5.7,110.0,979.0,176.0
Post-30s,44.0,40.0,418.0,7.7,131.0,1496.0,126.0
Post-30s,70.0,71.0,187.0,2.4,69.0,455.0,89.0
Pre-30s,56.0,46.0,327.0,8.0,148.0,1376.0,105.0
Pre-30s,72.0,69.0,240.0,2.4,61.0,373.0,87.0
Pre-30s,46.0,43.0,422.0,6.1,64.0,1255.0,96.0
Post-30s,60.0,53.0,308.0,4.6,90.0,783.0,103.0
Pre-30s,43.0,36.0,448.0,8.8,139.0,1551.0,105.0
Post-30s,80.0,71.0,169.0,5.1,114.0,1324.0,117.0
Post-30s,65.0,61.0,274.0,3.9,98.0,712.0,90.0
Post-30s,68.0,67.0,179.0,6.4,199.0,909.0,210.0
Pre-30s,61.0,56.0,321.0,3.2,51.0,581.0,83.0
Pre-30s,60.0,53.0,224.0,8.2,104.0,1327.0,117.0
Post-30s,58.0,52.0,373.0,4.1,67.0,758.0,115.0
Post-30s,73.0,70.0,202.0,3.9,100.0,677.0,111.0
Pre-30s,50.0,41.0,375.0,9.0,154.0,1419.0,180.0
Pre-30s,53.0,48.0,316.0,5.1,52.0,861.0,91.0
Post-30s,51.0,45.0,450.0,4.6,63.0,829.0,113.0
Pre-30s,43.0,38.0,358.0,15.0,265.0,2132.0,169.0
Post-30s,80.0,76.0,101.0,4.0,104.0,715.0,174.0
Pre-30s,63.0,59.0,298.0,3.6,83.0,660.0,87.0
Pre-30s,64.0,57.0,195.0,9.5,167.0,1654.0,100.0
Post-30s,71.0,71.0,236.0,2.6,63.0,487.0,96.0
Pre-30s,58.0,51.0,344.0,5.1,75.0,961.0,107.0
Post-30s,54.0,46.0,346.0,6.2,78.0,1039.0,183.0
Pre-30s,46.0,43.0,501.0,3.9,42.0,800.0,76.0
Pre-30s,42.0,34.0,476.0,9.0,92.0,1701.0,96.0
Post-30s,60.0,55.0,333.0,4.8,109.0,639.0,339.0
Post-30s,55.0,50.0,328.0,6.0,103.0,1193.0,115.0
Pre-30s,62.0,57.0,242.0,7.1,163.0,973.0,172.0
Post-30s,62.0,57.0,217.0,6.4,90.0,1056.0,95.0
Pre-30s,50.0,39.0,245.0,12.0,164.0,1991.0,438.0
Post-30s,66.0,66.0,225.0,2.7,79.0,493.0,98.0
Pre-30s,70.0,68.0,236.0,2.8,53.0,492.0,97.0
Pre-30s,67.0,67.0,244.0,3.0,89.0,566.0,114.0
Pre-30s,56.0,48.0,385.0,7.0,75.0,1257.0,92.0
Post-30s,65.0,62.0,283.0,3.3,85.0,595.0,111.0
Post-30s,51.0,50.0,327.0,4.3,72.0,751.0,119.0
Pre-30s,62.0,58.0,245.0,4.1,52.0,793.0,95.0
Pre-30s,35.0,46.0,291.0,14.0,169.0,3781.0,520.0
Pre-30s,48.0,39.0,401.0,9.2,71.0,1735.0,112.0
Post-30s,55.0,54.0,296.0,4.0,92.0,831.0,94.0
Pre-30s,45.0,42.0,440.0,6.0,67.0,1244.0,100.0
Pre-30s,48.0,47.0,438.0,4.2,55.0,659.0,81.0
Pre-30s,50.0,42.0,406.0,6.6,72.0,1258.0,118.0
Pre-30s,61.0,55.0,305.0,4.6,78.0,648.0,129.0
Post-30s,66.0,63.0,272.0,3.7,132.0,567.0,145.0
Post-30s,61.0,59.0,268.0,3.4,70.0,526.0,210.0
Post-30s,68.0,69.0,203.0,5.2,114.0,1104.0,137.0
Post-30s,62.0,56.0,338.0,4.2,62.0,783.0,94.0
Post-30s,56.0,49.0,378.0,4.7,77.0,800.0,83.0
Pre-30s,51.0,42.0,393.0,7.7,65.0,1431.0,125.0
Post-30s,38.0,33.0,530.0,7.1,73.0,1030.0,138.0
Post-30s,77.0,71.0,138.0,4.9,153.0,1311.0,125.0
,80.0,79.0,136.0,2.9,124.0,487.0,109.0
Pre-30s,64.0,57.0,276.0,4.8,60.0,902.0,110.0
Pre-30s,54.0,48.0,288.0,6.2,80.0,1108.0,112.0
Post-30s,67.0,63.0,218.0,5.1,131.0,738.0,133.0
Pre-30s,46.0,38.0,434.0,8.2,108.0,1508.0,131.0
Pre-30s,36.0,43.0,439.0,4.8,35.0,982.0,145.0
Pre-30s,53.0,49.0,340.0,5.8,107.0,1173.0,113.0
Post-30s,71.0,68.0,213.0,3.4,73.0,562.0,102.0
Pre-30s,61.0,56.0,349.0,3.6,44.0,646.0,89.0
Post-30s,54.0,47.0,454.0,5.8,69.0,1098.0,99.0
Pre-30s,51.0,47.0,358.0,4.5,53.0,862.0,102.0
Pre-30s,44.0,38.0,318.0,13.0,181.0,2482.0,111.0
Post-30s,65.0,64.0,244.0,2.7,41.0,522.0,80.0
Pre-30s,66.0,61.0,215.0,7.1,162.0,973.0,144.0
Pre-30s,27.0,29.0,538.0,7.7,66.0,1126.0,353.0
Post-30s,55.0,54.0,292.0,4.1,78.0,771.0,97.0
Pre-30s,60.0,53.0,330.0,4.8,82.0,809.0,99.0
Post-30s,69.0,67.0,251.0,2.8,61.0,488.0,76.0
Pre-30s,30.0,11.0,989.0,12.0,89.0,1853.0,306.0
Pre-30s,52.0,46.0,476.0,4.7,69.0,901.0,101.0
Post-30s,68.0,68.0,203.0,2.7,52.0,507.0,110.0
Pre-30s,52.0,44.0,359.0,8.1,141.0,1469.0,112.0
Pre-30s,49.0,39.0,370.0,13.0,157.0,2212.0,121.0
Pre-30s,53.0,45.0,380.0,6.3,104.0,1169.0,97.0
Post-30s,65.0,65.0,234.0,2.8,69.0,479.0,78.0
Pre-30s,51.0,48.0,367.0,4.1,33.0,721.0,72.0
Pre-30s,61.0,55.0,241.0,8.7,226.0,1131.0,196.0
Post-30s,89.0,87.0,65.0,1.4,68.0,581.0,121.0
Post-30s,58.0,52.0,285.0,6.5,134.0,866.0,206.0
Pre-30s,63.0,58.0,209.0,6.5,141.0,1097.0,53.0
Post-30s,47.0,39.0,434.0,7.5,76.0,1349.0,96.0
Post-30s,70.0,65.0,231.0,5.9,82.0,999.0,211.0
Post-30s,61.0,59.0,304.0,3.6,82.0,716.0,99.0
Post-30s,38.0,35.0,418.0,7.7,83.0,1460.0,96.0
Post-30s,71.0,68.0,213.0,3.3,100.0,567.0,89.0
Post-30s,65.0,64.0,223.0,3.3,75.0,524.0,101.0
Pre-30s,32.0,41.0,578.0,5.9,49.0,1768.0,82.0
Pre-30s,58.0,52.0,247.0,6.6,85.0,1180.0,101.0
Pre-30s,51.0,44.0,296.0,8.2,97.0,1522.0,118.0
Pre-30s,68.0,61.0,228.0,5.7,97.0,967.0,91.0
Post-30s,65.0,64.0,278.0,3.0,60.0,597.0,92.0
Pre-30s,53.0,55.0,292.0,5.0,117.0,1070.0,128.0
Pre-30s,47.0,41.0,480.0,5.2,44.0,743.0,94.0
Post-30s,12.0,36.0,547.0,6.8,60.0,1150.0,410.0
Pre-30s,59.0,50.0,322.0,6.0,84.0,1146.0,107.0
Pre-30s,52.0,45.0,278.0,7.9,83.0,1364.0,225.0
Post-30s,58.0,53.0,274.0,4.7,65.0,799.0,101.0
Pre-30s,55.0,46.0,367.0,7.5,67.0,1413.0,111.0
Pre-30s,43.0,34.0,427.0,12.0,127.0,2328.0,102.0
Post-30s,68.0,62.0,284.0,3.2,53.0,506.0,96.0
Pre-30s,45.0,41.0,368.0,6.3,73.0,1044.0,105.0
Post-30s,46.0,40.0,445.0,6.0,80.0,926.0,109.0
Post-30s,69.0,64.0,264.0,3.1,36.0,500.0,95.0
Post-30s,57.0,52.0,279.0,4.8,61.0,845.0,118.0
Pre-30s,71.0,67.0,249.0,2.6,64.0,408.0,93.0
Post-30s,74.0,71.0,205.0,2.7,79.0,397.0,104.0
Pre-30s,61.0,55.0,332.0,3.8,64.0,581.0,93.0
Post-30s,48.0,43.0,440.0,5.3,59.0,862.0,235.0
Pre-30s,46.0,41.0,398.0,7.9,66.0,1623.0,104.0
Post-30s,63.0,61.0,274.0,3.7,52.0,555.0,165.0
Post-30s,78.0,78.0,122.0,2.4,64.0,377.0,116.0
Post-30s,56.0,52.0,286.0,4.8,82.0,784.0,98.0
Post-30s,54.0,50.0,294.0,5.1,52.0,911.0,134.0
Pre-30s,36.0,27.0,861.0,6.0,47.0,725.0,70.0
Pre-30s,58.0,53.0,279.0,4.5,79.0,836.0,97.0
Post-30s,70.0,67.0,217.0,3.6,92.0,611.0,145.0
Pre-30s,44.0,40.0,440.0,6.6,87.0,1365.0,102.0
Post-30s,75.0,73.0,167.0,3.5,84.0,518.0,169.0
Pre-30s,2.0,17.0,809.0,9.2,73.0,1926.0,301.0
Pre-30s,54.0,47.0,425.0,4.4,49.0,813.0,83.0
Pre-30s,56.0,48.0,338.0,6.5,113.0,1204.0,117.0
Pre-30s,60.0,54.0,367.0,3.6,51.0,521.0,73.0
Pre-30s,52.0,46.0,418.0,4.7,57.0,723.0,84.0
Pre-30s,48.0,43.0,338.0,7.2,114.0,1230.0,105.0
Pre-30s,57.0,53.0,277.0,4.6,100.0,792.0,113.0
Pre-30s,47.0,46.0,357.0,7.5,133.0,1090.0,140.0
Pre-30s,45.0,38.0,304.0,16.0,181.0,2632.0,108.0
Pre-30s,9.0,24.0,633.0,12.0,101.0,3371.0,110.0
Pre-30s,36.0,33.0,428.0,8.3,109.0,1420.0,101.0
Pre-30s,44.0,35.0,400.0,14.0,138.0,2589.0,129.0
Post-30s,70.0,65.0,265.0,2.8,30.0,411.0,83.0
Pre-30s,41.0,29.0,460.0,9.7,101.0,1583.0,137.0
Pre-30s,53.0,47.0,304.0,5.9,67.0,1022.0,101.0
Pre-30s,62.0,58.0,233.0,4.7,85.0,785.0,87.0
Post-30s,56.0,52.0,296.0,4.8,73.0,954.0,105.0
Pre-30s,50.0,41.0,392.0,7.9,103.0,1471.0,111.0
Pre-30s,35.0,27.0,465.0,23.0,162.0,4351.0,280.0
Post-30s,66.0,65.0,206.0,3.6,86.0,540.0,127.0
Pre-30s,48.0,42.0,441.0,5.3,69.0,736.0,109.0
Pre-30s,56.0,51.0,280.0,5.2,50.0,877.0,87.0
Post-30s,53.0,48.0,322.0,4.8,48.0,851.0,97.0
Post-30s,69.0,68.0,252.0,2.5,57.0,388.0,78.0
Pre-30s,57.0,52.0,286.0,4.6,72.0,872.0,96.0
Post-30s,60.0,57.0,257.0,4.2,96.0,769.0,96.0
Pre-30s,52.0,45.0,427.0,4.8,34.0,657.0,188.0
Pre-30s,60.0,59.0,334.0,2.6,25.0,531.0,30.0
Post-30s,53.0,48.0,315.0,5.0,83.0,835.0,102.0
Pre-30s,58.0,55.0,280.0,4.1,81.0,680.0,92.0
Post-30s,62.0,59.0,256.0,3.6,70.0,666.0,105.0
Post-30s,26.0,30.0,651.0,9.7,118.0,1416.0,823.0
Pre-30s,28.0,22.0,584.0,14.0,149.0,2477.0,333.0
Post-30s,39.0,36.0,594.0,6.2,75.0,1184.0,82.0
Post-30s,49.0,39.0,424.0,6.3,99.0,1060.0,107.0
Post-30s,59.0,56.0,295.0,3.4,39.0,681.0,84.0
Post-30s,66.0,61.0,269.0,3.9,97.0,656.0,90.0
Post-30s,63.0,58.0,223.0,5.2,86.0,908.0,111.0
Post-30s,74.0,73.0,162.0,2.9,87.0,480.0,134.0
Post-30s,51.0,45.0,394.0,5.5,87.0,822.0,126.0
Post-30s,53.0,50.0,346.0,4.0,66.0,722.0,90.0
Pre-30s,53.0,47.0,280.0,7.7,103.0,1259.0,93.0
Post-30s,71.0,69.0,227.0,3.3,80.0,554.0,96.0
Pre-30s,54.0,47.0,397.0,4.9,93.0,894.0,114.0
Post-30s,59.0,54.0,258.0,8.0,177.0,906.0,262.0
Pre-30s,60.0,53.0,311.0,4.5,57.0,803.0,92.0
Post-30s,65.0,62.0,202.0,4.9,121.0,836.0,98.0
Pre-30s,41.0,34.0,463.0,9.4,132.0,1727.0,123.0
Post-30s,73.0,70.0,223.0,3.5,62.0,651.0,110.0
Post-30s,61.0,60.0,355.0,4.6,53.0,983.0,113.0
Post-30s,69.0,66.0,232.0,3.7,103.0,635.0,98.0
Post-30s,63.0,61.0,251.0,3.2,48.0,606.0,108.0
Post-30s,84.0,78.0,123.0,2.9,85.0,723.0,135.0
Pre-30s,41.0,40.0,409.0,8.2,142.0,1756.0,103.0
Post-30s,71.0,71.0,227.0,2.4,71.0,422.0,78.0
Pre-30s,50.0,45.0,356.0,7.5,76.0,1502.0,99.0
Post-30s,75.0,73.0,147.0,3.2,138.0,499.0,127.0
Pre-30s,54.0,44.0,344.0,9.1,92.0,1735.0,105.0
Pre-30s,59.0,53.0,372.0,4.4,71.0,784.0,90.0
Pre-30s,55.0,46.0,329.0,8.2,75.0,1446.0,215.0
Pre-30s,61.0,59.0,251.0,3.5,88.0,628.0,87.0
Post-30s,46.0,18.0,379.0,13.0,115.0,1316.0,101.0
Pre-30s,52.0,41.0,339.0,15.0,102.0,2793.0,115.0
Pre-30s,40.0,36.0,370.0,9.3,131.0,1569.0,172.0
Pre-30s,51.0,44.0,278.0,8.7,112.0,1470.0,52.0
Post-30s,81.0,80.0,135.0,2.0,77.0,266.0,115.0
Pre-30s,54.0,47.0,410.0,4.4,44.0,702.0,98.0
Pre-30s,45.0,39.0,478.0,6.3,111.0,1073.0,107.0
Pre-30s,27.0,30.0,597.0,7.5,64.0,1100.0,410.0
Pre-30s,55.0,52.0,313.0,4.1,53.0,753.0,96.0
Post-30s,54.0,51.0,311.0,4.1,58.0,681.0,96.0
Pre-30s,45.0,38.0,313.0,14.0,136.0,2316.0,100.0
Post-30s,44.0,46.0,448.0,4.6,62.0,688.0,499.0
Pre-30s,69.0,69.0,199.0,2.6,55.0,508.0,76.0
Pre-30s,63.0,62.0,269.0,2.8,41.0,525.0,80.0
Post-30s,69.0,67.0,197.0,3.1,45.0,519.0,104.0
Post-30s,47.0,20.0,553.0,19.0,105.0,2130.0,315.0
Pre-30s,61.0,56.0,322.0,3.4,58.0,583.0,90.0
Post-30s,80.0,81.0,100.0,2.2,59.0,361.0,92.0
Pre-30s,43.0,39.0,383.0,6.5,81.0,1157.0,112.0
Pre-30s,61.0,54.0,286.0,6.9,137.0,1222.0,93.0
Pre-30s,58.0,53.0,308.0,5.2,95.0,741.0,128.0
Pre-30s,55.0,50.0,384.0,4.3,57.0,537.0,87.0
Pre-30s,41.0,35.0,324.0,16.0,147.0,2729.0,184.0
Post-30s,53.0,49.0,320.0,4.8,67.0,817.0,84.0
Post-30s,72.0,68.0,310.0,2.2,24.0,211.0,102.0
Post-30s,58.0,50.0,342.0,6.3,80.0,1112.0,109.0
Post-30s,75.0,75.0,170.0,2.8,88.0,496.0,73.0
Post-30s,46.0,40.0,322.0,9.7,126.0,1879.0,133.0
Post-30s,67.0,62.0,276.0,3.9,64.0,692.0,100.0
Post-30s,77.0,72.0,147.0,6.2,154.0,1020.0,145.0
Pre-30s,58.0,54.0,270.0,4.5,78.0,731.0,97.0
Pre-30s,47.0,41.0,432.0,6.1,67.0,857.0,93.0
Pre-30s,55.0,51.0,332.0,5.5,87.0,1134.0,96.0
Pre-30s,57.0,53.0,281.0,4.5,59.0,813.0,102.0
Post-30s,68.0,67.0,205.0,2.9,53.0,518.0,99.0
Pre-30s,40.0,38.0,495.0,4.9,52.0,812.0,222.0
Pre-30s,56.0,49.0,242.0,8.6,115.0,1465.0,94.0
Post-30s,61.0,53.0,308.0,5.2,75.0,872.0,200.0
Pre-30s,58.0,48.0,308.0,8.2,112.0,1559.0,110.0
Post-30s,58.0,56.0,257.0,4.6,78.0,914.0,99.0
Post-30s,58.0,54.0,282.0,4.3,75.0,643.0,150.0
Pre-30s,50.0,40.0,335.0,9.7,153.0,1629.0,90.0
Post-30s,76.0,73.0,134.0,8.7,248.0,1041.0,191.0
Post-30s,73.0,68.0,180.0,4.3,106.0,710.0,100.0
Post-30s,60.0,54.0,334.0,4.3,97.0,774.0,107.0
Pre-30s,56.0,49.0,379.0,5.7,107.0,1047.0,110.0
,85.0,86.0,92.0,1.8,67.0,327.0,92.0
Pre-30s,63.0,53.0,237.0,8.1,95.0,1515.0,107.0
Post-30s,66.0,64.0,180.0,5.8,152.0,1109.0,104.0
Post-30s,75.0,73.0,179.0,2.8,91.0,404.0,119.0
Pre-30s,50.0,44.0,300.0,8.3,105.0,1340.0,91.0
Pre-30s,45.0,37.0,440.0,8.5,101.0,1568.0,114.0
Pre-30s,49.0,52.0,443.0,3.2,23.0,467.0,253.0
Post-30s,67.0,68.0,193.0,3.2,94.0,544.0,86.0
Post-30s,69.0,66.0,198.0,5.3,163.0,731.0,134.0
Post-30s,57.0,53.0,276.0,4.8,70.0,854.0,114.0
Pre-30s,44.0,50.0,464.0,3.5,24.0,553.0,239.0
Post-30s,63.0,58.0,286.0,4.3,112.0,770.0,125.0
Pre-30s,46.0,55.0,369.0,6.1,147.0,1615.0,120.0
Post-30s,63.0,58.0,311.0,4.4,87.0,730.0,179.0
Post-30s,69.0,70.0,196.0,2.5,74.0,454.0,101.0
Post-30s,40.0,42.0,473.0,5.2,81.0,704.0,597.0
Pre-30s,23.0,25.0,545.0,8.8,48.0,1511.0,257.0
Pre-30s,54.0,47.0,341.0,5.6,86.0,1036.0,107.0
Pre-30s,60.0,56.0,243.0,4.9,104.0,797.0,90.0
Pre-30s,59.0,56.0,227.0,8.0,81.0,1347.0,327.0
Post-30s,42.0,44.0,428.0,5.2,64.0,586.0,267.0
Pre-30s,47.0,38.0,395.0,11.0,86.0,2012.0,116.0
Post-30s,61.0,55.0,249.0,8.0,182.0,1060.0,188.0
Post-30s,68.0,63.0,230.0,4.8,114.0,823.0,110.0
Post-30s,74.0,75.0,205.0,2.2,55.0,305.0,171.0
Post-30s,65.0,65.0,243.0,2.7,65.0,505.0,63.0
Pre-30s,63.0,60.0,248.0,3.5,42.0,613.0,92.0
Post-30s,53.0,49.0,320.0,4.6,75.0,733.0,227.0
Post-30s,69.0,68.0,202.0,2.7,50.0,455.0,83.0
Post-30s,71.0,72.0,190.0,2.2,59.0,384.0,75.0
Post-30s,65.0,64.0,236.0,3.0,39.0,527.0,96.0
Pre-30s,57.0,47.0,299.0,12.0,134.0,2228.0,97.0
Pre-30s,61.0,53.0,353.0,5.6,63.0,992.0,95.0
Pre-30s,66.0,60.0,281.0,6.9,102.0,1257.0,88.0
Pre-30s,41.0,37.0,405.0,6.8,52.0,1305.0,103.0
Pre-30s,54.0,47.0,259.0,11.0,127.0,1969.0,118.0
Pre-30s,52.0,41.0,347.0,11.0,93.0,2117.0,131.0
Post-30s,63.0,62.0,252.0,3.1,56.0,589.0,99.0
Pre-30s,60.0,53.0,357.0,5.2,55.0,1007.0,108.0
Post-30s,60.0,59.0,249.0,3.6,72.0,669.0,101.0
Post-30s,54.0,56.0,312.0,3.4,74.0,531.0,270.0
Pre-30s,59.0,49.0,304.0,7.7,82.0,1463.0,96.0
Post-30s,60.0,60.0,310.0,2.7,51.0,480.0,66.0
Pre-30s,57.0,53.0,293.0,4.1,77.0,775.0,94.0
Pre-30s,54.0,49.0,327.0,6.5,92.0,1325.0,114.0
Pre-30s,50.0,41.0,519.0,5.2,55.0,927.0,139.0
Post-30s,59.0,52.0,349.0,4.2,54.0,515.0,97.0
Post-30s,66.0,65.0,311.0,2.4,45.0,474.0,81.0
Pre-30s,33.0,33.0,590.0,5.3,59.0,793.0,266.0
Pre-30s,48.0,40.0,462.0,8.3,104.0,1546.0,103.0
Pre-30s,47.0,50.0,350.0,3.9,40.0,570.0,296.0
Pre-30s,37.0,34.0,416.0,7.4,108.0,1388.0,111.0
Pre-30s,40.0,50.0,363.0,4.2,59.0,767.0,241.0
Pre-30s,46.0,43.0,447.0,5.0,59.0,666.0,283.0
Pre-30s,54.0,47.0,263.0,9.6,105.0,1713.0,99.0
Pre-30s,23.0,23.0,763.0,8.9,76.0,1043.0,326.0
Pre-30s,47.0,41.0,428.0,6.3,83.0,1025.0,115.0
Pre-30s,61.0,59.0,265.0,3.5,53.0,624.0,81.0
Pre-30s,54.0,51.0,290.0,4.7,66.0,880.0,91.0
Pre-30s,47.0,44.0,414.0,4.3,65.0,808.0,72.0
Pre-30s,37.0,34.0,452.0,6.8,93.0,989.0,228.0
Post-30s,69.0,66.0,218.0,2.9,98.0,511.0,83.0
Post-30s,54.0,48.0,403.0,4.5,63.0,615.0,109.0
Post-30s,82.0,82.0,110.0,1.5,55.0,378.0,114.0
Pre-30s,49.0,45.0,344.0,5.6,61.0,957.0,106.0
Pre-30s,29.0,19.0,626.0,11.0,99.0,1663.0,107.0
Post-30s,65.0,64.0,221.0,3.2,88.0,560.0,101.0
Pre-30s,54.0,47.0,403.0,5.0,79.0,872.0,95.0
Post-30s,58.0,57.0,271.0,3.8,70.0,717.0,107.0
Pre-30s,58.0,56.0,293.0,3.5,60.0,645.0,92.0
Post-30s,76.0,76.0,131.0,2.9,87.0,500.0,115.0
Pre-30s,53.0,49.0,319.0,4.8,81.0,895.0,97.0
Post-30s,32.0,19.0,700.0,10.0,94.0,1150.0,311.0
Pre-30s,46.0,41.0,424.0,8.9,140.0,1787.0,122.0
Pre-30s,38.0,34.0,589.0,5.9,43.0,742.0,99.0
,57.0,56.0,346.0,3.9,48.0,666.0,97.0
Post-30s,59.0,50.0,304.0,9.5,142.0,1781.0,121.0
Pre-30s,40.0,27.0,624.0,9.0,69.0,1847.0,246.0
Pre-30s,63.0,58.0,308.0,3.6,53.0,569.0,90.0
Post-30s,44.0,41.0,408.0,5.2,65.0,730.0,240.0
